method,case_id,scan_id,agent_group,agent_number,target_number,evaluation_status,pwgs_pair_count,evaluable_target_count,empty_support_count,valid_hypothesis_snapshot_count,invalid_hypothesis_snapshot_count,episode_pwgs,episode_target_balanced_pwgs,in_common_support,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,evaluable,21,1,0,22,0,0.3292930554882511,0.3292930554882511,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,evaluable,29,3,0,19,0,0.6331390947265751,0.741504843555392,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,evaluable,77,4,0,29,0,0.5000490026101407,0.5301990785459046,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,evaluable,89,7,0,29,0,0.5496069785096539,0.6177061218680328,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,evaluable,2,1,0,3,0,0.5807115518162842,0.5807115518162842,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,evaluable,8,1,0,9,0,0.42826391855519896,0.42826391855519896,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,evaluable,83,4,0,29,0,0.4780783060528262,0.42294484878266264,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,evaluable,52,3,0,29,0,0.532953414126243,0.6443219011647555,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,evaluable,81,7,0,26,0,0.47816342677805596,0.5533321112908507,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,evaluable,4,1,0,5,0,0.26153989995452276,0.26153989995452276,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,evaluable,6,1,0,7,0,0.4807852614294236,0.4807852614294236,1,not_estimable_no_ungrounded_predictions,0
