method,case_id,scan_id,agent_group,agent_number,target_id,pwgs_pair_count,target_mean_pwgs,in_common_support
GPT-Medium,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,2,21,0.3292930554882511,1
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,2,4,0.8128283975838958,1
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,18,0.4752652022871939,1
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,7,7,0.9364209307950865,1
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,0,19,0.2852315882094213,1
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,1,29,0.45823587493745194,1
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,5,17,0.6535172878749558,1
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,6,12,0.7238115631617897,1
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,0,29,0.43852637411514395,1
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,1,10,0.7262050921790045,1
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,2,29,0.4965046918907495,1
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,3,4,0.3813250659050545,1
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,4,3,0.5048933234719638,1
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,5,13,0.8100500593206512,1
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,6,1,0.9664382461936618,1
GPT-Medium,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,3,2,0.5807115518162842,1
GPT-Medium,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,8,0.42826391855519896,1
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,0,26,0.7479296255181228,1
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,5,29,0.21777845156571563,1
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,6,4,0.17534787948079303,1
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,7,24,0.550723438566019,1
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,3,20,0.7272413444835738,1
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,3,0.8383559910160358,1
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,5,29,0.367368367994657,1
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,0,25,0.2500673807440902,1
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,1,17,0.5080804380598832,1
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,2,17,0.4717511642314919,1
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,3,3,0.31001108000063776,1
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,4,1,0.5788775456182319,1
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,5,16,0.771745048934537,1
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,6,2,0.9827921214470832,1
GPT-Medium,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,4,4,0.26153989995452276,1
GPT-Medium,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,6,6,0.4807852614294236,1
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,0,2,0.9424269739693102,1
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,2,10,0.6669553161137503,1
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,1,1,0.27761102401207693,1
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,3,1,0.5921741866213461,1
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,5,9,0.3430685685362936,1
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,0,6,0.6311170681315964,1
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,1,1,0.3697445013735393,1
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,2,9,0.7422932244729168,1
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,3,3,0.8161917682657095,1
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,5,9,0.3620634888863118,1
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,6,8,0.4680366477015535,1
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,7,1,0.8542476086680802,1
GPT-Medium,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,3,2,0.575641200848001,1
GPT-Medium,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,6,4,0.6671042379705234,1
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,1,1,0.7418015030309957,1
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,5,2,0.6491767442044226,1
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,0,4,0.7264994116642709,1
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,1,3,0.6641955312112573,1
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,2,5,0.88394952457164,1
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,3,2,0.554340824548035,1
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,4,1,0.2353973273227381,1
GPT-Medium,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,2,25,0.571492500709472,0
GPT-Medium,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,3,6,0.3718923115476603,0
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,1,29,0.7566539533685902,1
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,3,29,0.8527308262015599,1
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,29,0.37332406186037054,1
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,7,29,0.7503775947433204,1
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,0,29,0.27726751458173277,1
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,2,17,0.6590409237605747,1
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,5,8,0.7445714997101807,1
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,7,15,0.3571105487697629,1
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,0,2,0.7701489808358353,1
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,2,3,0.7682164296028002,1
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,3,2,0.8834346663564314,1
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,4,11,0.4298201087055229,1
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,5,8,0.7591140923024199,1
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,6,6,0.2647901372409282,1
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,7,2,0.7186261596507423,1
GPT-Medium,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,0,12,0.7502746482692308,1
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,1,5,0.6315700886749871,1
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,6,0.915659286106874,1
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,6,2,0.7839081358789257,1
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,7,3,0.6975314897678034,1
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,3,29,0.28146955214853436,1
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,5,29,0.4147253798747299,1
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,6,29,0.6329276946744247,1
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,7,29,0.38185749129888175,1
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,0,29,0.3385532552421505,1
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,1,29,0.32335439587389553,1
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,2,12,0.6628830329188847,1
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,5,7,0.6611688087660385,1
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,6,6,0.8850196136326507,1
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,7,1,0.4520711691107401,1
GPT-Medium,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,6,15,0.31628269117094665,1
GPT-Medium,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,7,3,0.7245631691055024,1
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,0,1,0.7536658375641573,1
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,29,0.6793516826808051,1
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,6,29,0.7069557949514141,1
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,7,1,1.0,1
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,0,2,0.8158780426795262,1
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,2,3,0.7570258330419296,1
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,6,5,0.2752254174913581,1
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,7,4,0.7574798806006366,1
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,0,1,0.8633467717738714,1
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,1,9,0.8494667077893818,1
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,2,1,0.9883678649465509,1
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,4,3,0.4401967330816006,1
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,5,10,0.8714261595176451,1
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,6,4,0.4510279657156453,1
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,7,4,0.8085778440981294,1
GPT-Medium,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,5,5,0.40701853879367833,1
GPT-Medium,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,4,3,0.9852676452966459,1
GPT-Medium,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,0,4,0.6422354737550359,1
