method,task_metric_method,agent_group,case_id,agent_number,target_number,progress,team_ppl_total,team_ppl_makespan,total_distance,maximum_agent_distance,tp,fp,fn,episode_target_balanced_pwgs
GPT-Medium,GPT54Medium,single,17DRP5sb8fy_case_0002,1,1,0.0,0.0,0.0,41.50677525,41.50677525,0,0,0,0.27020565563911025
GPT-Medium,GPT54Medium,single,17DRP5sb8fy_case_0003,1,4,0.5,0.1423543916,0.1423543916,49.64394214,49.64394214,2,0,1,0.6182518351671143
GPT-Medium,GPT54Medium,single,17DRP5sb8fy_case_0004,1,4,0.25,0.09887648751,0.09887648751,35.43069805,35.43069805,1,3,0,0.2665301138223219
GPT-Medium,GPT54Medium,single,17DRP5sb8fy_case_0005,1,8,0.125,0.03698956747,0.03698956747,57.95071708,57.95071708,1,6,23,0.5041403733336027
GPT-Medium,GPT54Medium,single,17DRP5sb8fy_case_0006,1,1,1.0,0.840673842,0.840673842,9.464872883,9.464872883,1,0,0,0.797208725389627
GPT-Medium,GPT54Medium,single,JF19kD82Mey_case_0003,1,4,0.5,0.1967148991,0.1967148991,68.04039058,68.04039058,2,1,2,0.8468201579879483
GPT-Medium,GPT54Medium,single,JF19kD82Mey_case_0004,1,4,0.25,0.1201346371,0.1201346371,66.43692966,66.43692966,1,1,0,0.5787919595624925
GPT-Medium,GPT54Medium,single,JF19kD82Mey_case_0006,1,1,1.0,1.0,1.0,1.429070805,1.429070805,1,0,0,0.9917995805135847
GPT-Medium,GPT54Medium,single,JF19kD82Mey_case_0007,1,1,0.0,0.0,0.0,79.42840011,79.42840011,0,0,1,0.7247972339199088
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0007,1,1,0.0,0.0,0.0,34.62374598,34.62374598,0,1,0,0.3292930554882511
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0008,1,4,0.25,0.1246369192,0.1246369192,35.04924728,35.04924728,1,3,4,0.741504843555392
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0009,1,4,0.0,0.0,0.0,64.11226186,64.11226186,0,3,0,0.5301990785459046
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0010,1,8,0.25,0.09009080687,0.09009080687,92.27457157,92.27457157,2,4,1,0.6177061218680328
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0011,1,1,0.0,0.0,0.0,4.894429073,4.894429073,0,1,0,0.5807115518162842
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0012,1,1,0.0,0.0,0.0,21.84765024,21.84765024,0,1,0,0.42826391855519896
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0013,1,4,0.5,0.2223929793,0.2223929793,51.19963455,51.19963455,2,1,5,0.42294484878266264
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0014,1,4,0.25,0.1077463423,0.1077463423,56.83686401,56.83686401,1,2,0,0.6443219011647555
GPT-Medium,GPT54Medium,single,r47D5H71a5s_case_0015,1,8,0.375,0.2177513018,0.2177513018,59.59399997,59.59399997,3,5,1,0.5533321112908507
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0003,1,4,0.0,0.0,0.0,68.57166999,68.57166999,0,0,12,0.6832716090434603
