method,agent_group,case_count,progress,team_ppl_total,team_ppl_makespan,f1,target_balanced_pwgs,mean_total_distance,mean_maximum_agent_distance,tp,fp,fn
GPT-Medium,single,30,0.2708333333333333,0.171836661733,0.171836661733,0.3317972350230415,0.600512369345943,43.02038666273334,43.02038666273334,36,52,93
Qwen-Thinking,single,30,0.275,0.14559936622466668,0.14559936622466668,0.330188679245283,0.5895173126799587,46.35158723836666,46.35158723836666,35,50,92
Qwen-Instant,single,30,0.2708333333333333,0.142291509274,0.142291509274,0.3877551020408163,0.5680959788275292,47.5893218152,47.5893218152,38,35,85
Gemma-Instant,single,30,0.21666666666666667,0.16444362285966668,0.16444362285966668,0.31016042780748665,0.5802254187597105,31.016349506100003,31.016349506100003,29,42,87
VLFM-G,single,30,0.25833333333333336,0.13250952060500001,0.13250952060500001,0.27927927927927926,,45.8754967434,45.8754967434,31,34,126
GPT-Medium,multi,53,0.5,0.128513637704717,0.2666765194428302,0.4485294117647059,0.6965670653022051,38.63132638043396,13.080421545113207,122,107,193
Qwen-Thinking,multi,53,0.46462264150943394,0.13264500955528302,0.2900234789983019,0.43087971274685816,0.6288572316814139,41.24860300939623,13.545305269828303,120,111,206
Qwen-Instant,multi,53,0.4740566037735849,0.10504476192924529,0.24447217384056605,0.3793103448275862,0.5958227854965991,52.78684524822641,17.12997483609245,121,104,292
Gemma-Instant,multi,53,0.4669811320754717,0.10232077922075472,0.23331464216528303,0.4006908462867012,0.6359344353772612,48.19272211556604,15.529433801090567,116,106,241
VLFM-G,multi,53,0.3113207547169811,0.07569731172207547,0.1573008604811321,0.0768775872264932,,94.99151005186792,29.909482374339625,65,66,1495
Dec-Graph,multi,53,0.4033018867924528,0.08917882492662264,0.16933046179320754,0.14756671899529042,,104.01565804445282,31.196694273943397,94,83,1003
